date,minimum temperature (degC),site number,site name
8/8/10,6.4,,
9/8/10,9.7,,
10/8/10,7.3,,
11/8/10,10.9,,
12/8/10,7.9,,
13/8/10,7.6,,
14/8/10,9.7,,
15/8/10,11.7,,
16/8/10,11.7,,
17/8/10,8.6,,
18/8/10,7.3,,
19/8/10,7.6,,
20/8/10,8.6,,
21/8/10,7.4,,
22/8/10,7.3,,
23/8/10,8.6,,
24/8/10,5.4,,
25/8/10,7.2,,
26/8/10,6.7,,
27/8/10,7,,
28/8/10,2.7,,
29/8/10,11.7,,
30/8/10,13.4,,
31/8/10,9.6,,
1/9/10,7.7,,
2/9/10,8.1,,
3/9/10,8.9,,
4/9/10,11.3,,
5/9/10,8.1,,
6/9/10,10.8,,
7/9/10,5.7,,
8/9/10,11.3,,
9/9/10,8,,
10/9/10,13,,
11/9/10,8.4,,
12/9/10,7.3,,
13/9/10,7.4,,
14/9/10,3.5,,
15/9/10,10.7,,
16/9/10,10.3,,
17/9/10,5.9,,
18/9/10,9.3,,
19/9/10,8.8,,
20/9/10,9.6,,
21/9/10,7.1,,
22/9/10,5.3,,
23/9/10,5.6,,
24/9/10,4.6,,
25/9/10,10.3,,
26/9/10,12.3,,
27/9/10,8.7,,
28/9/10,9.9,,
29/9/10,8.1,,
30/9/10,4.8,,
1/10/10,8.5,,
2/10/10,9.7,,
3/10/10,9.7,,
4/10/10,8.5,,
5/10/10,5.1,,
6/10/10,6.4,,
7/10/10,7.9,,
8/10/10,9.3,,
9/10/10,8.6,,
10/10/10,2.8,,
11/10/10,4.3,,
12/10/10,6.2,,
13/10/10,6.6,,
14/10/10,5.7,,
15/10/10,9.4,,
16/10/10,12.4,,
17/10/10,17.2,,
18/10/10,10,,
19/10/10,6.3,,
20/10/10,8.7,,
21/10/10,6.3,,
22/10/10,6.1,,
23/10/10,6.2,,
24/10/10,12.6,,
25/10/10,9.7,,
26/10/10,8,,
27/10/10,6.2,,
28/10/10,7.6,,
29/10/10,10,,
30/10/10,9.3,,
31/10/10,6.9,,
1/11/10,3.9,,
2/11/10,10,,
3/11/10,15.2,,
4/11/10,11.6,,
5/11/10,12.9,,
6/11/10,9,,
7/11/10,7.6,,
8/11/10,10.3,,
9/11/10,10.2,,
10/11/10,11.7,,
11/11/10,15.7,,
12/11/10,7.5,,
13/11/10,7.6,,
14/11/10,10.2,,
15/11/10,7.4,,
16/11/10,15.4,,
17/11/10,21,,
18/11/10,14.1,,
19/11/10,15.4,,
20/11/10,10.2,,
21/11/10,11.6,,
22/11/10,10.6,,
23/11/10,11.2,,
24/11/10,11.6,,
25/11/10,7.4,,
26/11/10,8.3,,
27/11/10,12.5,,
28/11/10,14.5,,
29/11/10,15.7,,
30/11/10,12.7,,
1/12/10,11.2,,
2/12/10,9.7,,
3/12/10,11.4,,
4/12/10,11.8,,
5/12/10,10,,
6/12/10,11.9,,
7/12/10,10.1,,
8/12/10,15.5,,
9/12/10,14.3,,
10/12/10,13,,
11/12/10,12.3,,
12/12/10,9.4,,
13/12/10,13.1,,
14/12/10,11.9,,
15/12/10,13.2,,
16/12/10,8.6,,
17/12/10,11.2,,
18/12/10,11.2,,
19/12/10,9.1,,
20/12/10,9.8,,
21/12/10,6.7,,
22/12/10,12,,
23/12/10,9.2,,
24/12/10,10,,
25/12/10,10,,
26/12/10,8.9,,
27/12/10,15.5,,
28/12/10,9.3,,
29/12/10,13.2,,
30/12/10,13.2,,
31/12/10,12.3,,
